,0
122,44306.799999999974
123,44253.699999999975
124,44396.09999999997
125,44259.99999999997
126,44302.09999999997
127,44487.19999999996
128,44292.59999999997
129,44425.999999999956
130,44314.999999999956
131,44454.999999999956
132,44273.29999999996
133,44481.799999999974
134,44364.799999999974
135,44247.49999999997
136,44445.19999999996
137,44152.29999999997
138,44345.399999999965
139,44471.29999999997
140,44248.69999999997
141,44493.99999999997
142,44304.69999999997
143,44527.39999999997
144,44427.99999999997
145,44369.39999999997
146,44405.39999999997
147,44541.99999999997
148,44161.39999999997
149,44284.299999999974
150,44517.39999999997
151,44146.59999999997
152,44442.99999999998
153,44289.89999999997
154,44595.59999999998
155,44537.799999999974
156,44511.799999999974
157,44210.99999999998
158,44313.299999999974
159,44403.49999999998
160,44199.599999999984
161,44338.89999999999
162,44480.39999999998
163,44197.39999999998
164,44447.299999999996
165,44443.299999999996
166,44306.29999999999
167,44307.99999999999
168,44518.09999999999
169,44261.99999999999
170,44554.99999999999
171,44420.1
172,44535.99999999999
173,44397.6
174,44634.69999999999
175,44543.999999999985
176,44492.69999999998
177,44503.99999999999
178,44249.79999999998
179,44515.99999999999
180,44191.499999999985
181,44448.99999999999
182,44362.499999999985
183,44420.89999999999
184,44319.799999999996
185,44175.69999999998
186,44249.19999999998
187,44381.499999999985
188,44370.29999999999
189,44381.599999999984
190,44350.29999999998
191,44264.999999999985
192,44327.799999999974
193,44304.499999999985
194,44383.09999999998
195,44364.89999999998
196,44318.89999999999
197,44438.999999999985
198,44234.79999999998
199,44316.599999999984
200,44508.29999999998
201,44117.39999999998
202,44306.09999999998
203,44228.89999999999
204,44329.09999999999
205,44271.59999999999
206,44340.89999999999
207,44302.89999999999
208,44350.19999999999
209,44311.99999999999
210,44410.79999999999
211,44241.59999999999
212,44521.8
213,44249.7
214,44676.80000000001
215,44480.30000000001
216,44432.00000000001
217,44345.40000000001
218,44366.200000000004
219,44381.30000000001
220,44304.400000000016
221,44294.60000000001
222,44345.000000000015
223,44287.20000000001
224,44284.900000000016
225,44312.10000000001
226,44387.10000000001
227,44244.000000000015
228,44469.2
229,44436.4
230,44358.8
231,44324.2
232,44368.90000000001
233,44317.70000000001
234,44330.700000000004
235,44210.700000000004
236,44220.90000000001
237,44503.1
238,44207.9
239,44210.600000000006
240,44242.50000000001
241,44312.40000000001
242,44233.20000000001
243,44423.30000000001
244,44134.200000000004
245,44489.00000000001
246,44222.600000000006
247,44421.00000000001
248,44460.00000000001
249,44369.00000000001
250,44464.00000000001
251,44093.20000000001
252,44383.00000000001
253,44173.30000000001
254,44516.00000000001
